Petfinder-ID,Name,Size,Gender,Age,Color,Breed
69744200,Bernice,Large,Female,Baby,Tricolor,Labrador Retriever
69744204,FITZ,Small,Male,Young,,French Bulldog
69744208,Candy,Medium,Female,Young,Black,Parson Russell Terrier
69744210,Rocky,Medium,Male,Senior,White,American Staffordshire Terrier
69744214,Augusta,Small,Female,Young,,Chihuahua
69744216,Poindexter,Small,Male,Baby,,Chihuahua
69744223,Amelia,Medium,Female,Baby,,English Foxhound
69744224,Laurel,Medium,Female,Senior,Black,Parson Russell Terrier
69744256,Chuggle,Small,Male,Adult,,Pug
69744262,Charlie Girl,Large,Female,Adult,,Bull Terrier
69744263,Chuca,Medium,Female,Adult,,Bull Terrier
69744276,MAGGIE,Medium,Female,Adult,,Parson Russell Terrier
69744278,Otis,Small,Male,Adult,Yellow,Pug
69744280,Cleo,Small,Female,Baby,,Parson Russell Terrier
69744283,Kobe,Medium,Male,Adult,Gray,American Staffordshire Terrier
69744287,Kellah,Medium,Female,Young,Brown,Australian Cattle Dog
69744295,Brie,Large,Female,Baby,White,Great Pyrenees
69744299,Oreo,Medium,Male,Baby,,Bull Terrier
69744300,Cookie,Medium,Female,Baby,,Bull Terrier
69744301,Hollie,Small,Female,Senior,Apricot,Shih Tzu
69744302,Samara,Large,Female,Young,White,Great Pyrenees
69744304,Finn in CO,Small,Male,Adult,White,Boston Terrier
69744310,RIVER,Large,Male,Adult,Black,German Shepherd
69744311,Juniper,Small,Female,Adult,Yellow,Pug
69744312,June,Large,Female,Young,Black,Rottweiler
69744314,Babette,Large,Female,Baby,White,Great Pyrenees
69744316,Bear Bear Aussie Pyrenees,Large,Male,Young,Apricot,Australian Shepherd
69744320,June (TX),Large,Female,Young,Black,Rottweiler
69744325,Minnie,Small,Female,Young,Yellow,Pug
69744327,Drake,Medium,Male,Baby,Brown,Parson Russell Terrier
69744330,Oatchi ,Medium,Female,Young,Harlequin,Cavalier King Charles Spaniel
69744335,Jack *LOCAL*,Medium,Male,Young,,Parson Russell Terrier
69744337,Petunia,Small,Female,Adult,Yellow,Pug
69744341,Jacques,Medium,Male,Young,Red,English Springer Spaniel
69744350,Bebeta,Medium,Female,Young,Brown,Dachshund
69744351,CREAM (See also PEACHES),Large,Female,Adult,Yellow,Australian Shepherd
